acompanh,algum,aparec,api,atend,atendimnt,atras,atualiz,atualizaca,baix,bolet,bug,cadastr,carreg,carta,chat,cheg,conclu,consegu,consult,dashboard,demor,duas,emit,enquant,erro,etap,extrat,faz,fic,informaco,integr,integraca,limit,login,mesm,msg,naum,notificaco,nov,onboarding,pagament,ped,performanc,platafrom,ploblem,precis,probelm,qdo,rap,receb,relatori,repet,resolv,respond,sald,simpl,sitem,solicitaca,suport,tent,transferenc,trav,travan,usabil,vcs,vez,virtual
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30252368339308977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21831463507727691,0.0,0.0,0.30127844708595874,0.22376373253857307,0.0,0.0,0.5039010284475101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30127844708595874,0.26557386693520135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22549624387309108,0.5039010284475101,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1429695430997223,0.14036463173277255,0.0,0.0,0.0,0.1397174566717211,0.0,0.0,0.0,0.0,0.0,0.0,0.14339161223640393,0.0,0.26528839807790167,0.1397174566717211,0.1429695430997223,0.14036463173277255,0.392226520580202,0.0,0.10347780757996672,0.0,0.0,0.14280138921752442,0.21212119334835766,0.1429695430997223,0.0,0.0,0.0,0.142508038994556,0.0,0.0,0.0,0.0,0.142508038994556,0.2829202547248789,0.0,0.13210952132841278,0.142508038994556,0.0,0.0,0.142508038994556,0.0,0.0,0.0,0.1429695430997223,0.0,0.0,0.0,0.14280138921752442,0.12587796274519567,0.1429695430997223,0.0,0.0,0.5017722712045515,0.0,0.0,0.0,0.142508038994556,0.10688178062476424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2697894156793697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2697894156793697,0.0,0.0,0.0,0.0,0.19981194839794084,0.0,0.0,0.2757443792132519,0.20479922183641855,0.0,0.0,0.0,0.0,0.0,0.47560921904232256,0.0,0.0,0.0,0.0,0.0,0.0,0.2550987644200914,0.0,0.0,0.0,0.0,0.0,0.0,0.535364965042279,0.0,0.0,0.0,0.0,0.2757443792132519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20638489869793095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1344229014096179,0.0,0.13426744604919819,0.0,0.13380312170904415,0.0,0.0,0.0,0.4717605252319734,0.0,0.0,0.13732174776988285,0.24494199994754612,0.0,0.13380312170904415,0.0,0.1344229014096179,0.0,0.0,0.0990975216099085,0.13591704080996153,0.4717605252319734,0.0,0.10157097948520924,0.0,0.0,0.0,0.0,0.13647557678428,0.0,0.0,0.0,0.0,0.13647557678428,0.0,0.0,0.12651723544297058,0.13647557678428,0.0,0.0,0.13647557678428,0.0,0.0,0.0,0.0,0.0,0.0,0.13426744604919819,0.0,0.1205494629726605,0.0,0.13426744604919819,0.0,0.0,0.0,0.0,0.13426744604919819,0.13647557678428,0.10235740216067961,0.0,0.13591704080996153,0.0,0.2495515320162391,0.0,0.13591704080996153,0.24494199994754612
0.0,0.16234940654845695,0.0,0.0,0.15920706267308568,0.0,0.0,0.0,0.16331072746030634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16234940654845695,0.0,0.0,0.0,0.117504471842826,0.0,0.0,0.0,0.0,0.16234940654845695,0.0,0.0,0.16331072746030634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980425165091786,0.0,0.0,0.0,0.0,0.3148349133514295,0.16234940654845695,0.0,0.0,0.15920706267308568,0.0,0.0,0.16234940654845695,0.15920706267308568,0.1588854569106288,0.0,0.16331072746030634,0.0,0.15920706267308568,0.0,0.0,0.0,0.0,0.3072262884757443,0.0,0.3108035694245377,0.0,0.0
0.0,0.0,0.19428971818681678,0.362720241265792,0.1940650289571554,0.0,0.0,0.0,0.0,0.33518719085988036,0.0,0.0,0.0,0.19847959979550567,0.0,0.0,0.0,0.0,0.19428971818681678,0.0,0.0,0.28646353180446266,0.0,0.0,0.0,0.14680680727166837,0.0,0.0,0.0,0.0,0.19725657663050444,0.0,0.0,0.0,0.0,0.19725657663050444,0.0,0.0,0.18286317109824815,0.19725657663050444,0.0,0.0,0.19725657663050444,0.0,0.0,0.0,0.0,0.0,0.0,0.1940650289571554,0.0,0.3484751622368198,0.0,0.1940650289571554,0.19367300846160654,0.0,0.0,0.0,0.1940650289571554,0.19725657663050444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17041210522539674,0.16730718916885004,0.0,0.16711370428554287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17041210522539674,0.16730718916885004,0.46751318950976245,0.0,0.0,0.0,0.0,0.17021167472498466,0.2528372011107537,0.17041210522539674,0.3106000907329764,0.0,0.0,0.0,0.0,0.0,0.483699744867419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17041210522539674,0.0,0.0,0.16711370428554287,0.17021167472498466,0.0,0.17041210522539674,0.16711370428554287,0.0,0.0,0.0,0.0,0.16711370428554287,0.0,0.12739740822841358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27961732166641023,0.16140120059326207,0.15846046361565652,0.29583046457710177,0.0,0.0,0.15772985463710743,0.0,0.0,0.0,0.0,0.0,0.0,0.1618776829538881,0.0,0.0,0.15772985463710743,0.16140120059326207,0.15846046361565652,0.0,0.0,0.23363636780339722,0.0,0.0,0.0,0.11973394659945202,0.16140120059326207,0.0,0.0,0.0,0.1608801993013953,0.0,0.0,0.0,0.0,0.1608801993013953,0.0,0.314774589829596,0.14914110299236455,0.1608801993013953,0.0,0.46158456706069345,0.1608801993013953,0.0,0.0,0.0,0.16140120059326207,0.0,0.0,0.0,0.0,0.1421061708306457,0.16140120059326207,0.0,0.15795748224389325,0.0,0.0,0.0,0.0,0.1608801993013953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15127425924687785,0.1485180355862606,0.0,0.0,0.0,0.1478332678669197,0.0,0.0,0.0,0.0,0.0,0.21163921872665334,0.0,0.0,0.0,0.1478332678669197,0.15127425924687785,0.1485180355862606,0.0,0.0,0.0,0.0,0.0,0.1510963377580246,0.22444274282918156,0.15127425924687785,0.0,0.5054301144163682,0.0,0.15078594760976416,0.0,0.0,0.0,0.0,0.15078594760976416,0.0,0.0,0.13978340802611175,0.15078594760976416,0.0,0.0,0.15078594760976416,0.0,0.0,0.0,0.15127425924687785,0.0,0.0,0.0,0.1510963377580246,0.0,0.15127425924687785,0.0,0.0,0.0,0.0,0.0,0.0,0.15078594760976416,0.11309025573174625,0.5054301144163682,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.12767343696638755,0.0,0.12752578712434795,0.0,0.0,0.0,0.1308128465882825,0.0,0.44807311142537737,0.0,0.18193552281412326,0.0,0.0,0.0,0.0,0.0,0.12767343696638755,0.0,0.0,0.09412176828585124,0.0,0.44807311142537737,0.12988987282555847,0.19294206434962807,0.0,0.0,0.0,0.1308128465882825,0.12962304612755854,0.0,0.0,0.0,0.4763240697356508,0.12962304612755854,0.0,0.0,0.0,0.12962304612755854,0.0,0.0,0.12962304612755854,0.0,0.0,0.0,0.0,0.0,0.0,0.12752578712434795,0.12988987282555847,0.0,0.0,0.12752578712434795,0.12726817903013132,0.0,0.1308128465882825,0.0,0.12752578712434795,0.12962304612755854,0.09721796803792003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
